scaffold_id	mag_ids	note
VB15-29_k141_46494	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_56857	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_66517	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.50	duplicate across MAGs
s2.ctg000003c	O2_bin.circ.2, We2_bin.full.46, We4_bin.circ.1	duplicate across MAGs
VB15-29_k141_191	MASTER_WP4_FFoQSI_3__VB15-29__bin.21, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
SternesPR_2017_k119_2190	SternesPR_2017__T1D1_A_shotgun__bin.4, SternesPR_2017__T1D1_B_shotgun__bin.5	duplicate across MAGs
SternesPR_2017_k119_15340	SternesPR_2017__T1D1_A_shotgun__bin.4, SternesPR_2017__Y3D3_B_shotgun__bin.2	duplicate across MAGs
VB15-29_k141_1450	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.38	duplicate across MAGs
VB15-29_k141_1716	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_2261	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_9076	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_9619	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_13368	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_13488	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.35	duplicate across MAGs
VB15-29_k141_22510	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.38	duplicate across MAGs
VB15-29_k141_24397	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.49	duplicate across MAGs
VB15-29_k141_38229	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.39	duplicate across MAGs
VB15-29_k141_51681	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.23	duplicate across MAGs
VB15-29_k141_59591	MASTER_WP4_FFoQSI_2__VB15-29__bin.15, MASTER_WP4_FFoQSI_3__VB15-29__bin.39	duplicate across MAGs
VB15-29_k141_499	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_862	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_1175	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.40	duplicate across MAGs
VB15-29_k141_6436	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_15437	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.8	duplicate across MAGs
VB15-29_k141_44083	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_44450	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.50	duplicate across MAGs
VB15-29_k141_54803	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.33	duplicate across MAGs
VB15-29_k141_55620	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_58136	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_66395	MASTER_WP4_FFoQSI_2__VB15-29__bin.21, MASTER_WP4_FFoQSI_3__VB15-29__bin.3	duplicate across MAGs
VB15-29_k141_5532	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_26168	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_30581	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.17	duplicate across MAGs
VB15-29_k141_40167	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_56239	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.22	duplicate across MAGs
VB15-29_k141_58817	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_59598	MASTER_WP4_FFoQSI_3__VB15-29__bin.40, MASTER_WP4_FFoQSI_2__VB15-29__bin.11	duplicate across MAGs
